tick,flightState,filtered_altitude,filtered_acceleration
8923,IDLE,-0.0771502,9.89882
8940,IDLE,-0.0791363,9.89856
8953,IDLE,-0.079227,9.89852
8966,IDLE,-0.0786934,9.89884
8979,IDLE,-0.0775417,9.89907
8992,IDLE,-0.0776421,9.89918
9005,IDLE,-0.0765057,9.89911
9018,IDLE,-0.0778498,9.8992
9031,IDLE,-0.076713,9.89919
9044,IDLE,-0.0743552,9.89921
9057,IDLE,-0.0732372,9.89922
9070,IDLE,-0.0708934,9.89928
9083,IDLE,-0.070418,9.89943
9096,IDLE,-0.0699479,9.89911
9109,IDLE,-0.069483,9.89896
9122,IDLE,-0.0708667,9.89874
9139,IDLE,-0.0710101,9.89878
9152,IDLE,-0.0699305,9.89866
9165,IDLE,-0.070079,9.89848
9180,IDLE,-0.0708369,9.89832
9193,IDLE,-0.069169,9.89821
9206,IDLE,-0.0681097,9.89797
9219,IDLE,-0.0706897,9.89807
9232,IDLE,-0.0702255,9.8982
9245,IDLE,-0.0697663,9.89816
9258,IDLE,-0.0681072,9.89816
9271,IDLE,-0.067056,9.89803
9284,IDLE,-0.0678314,9.89817
9297,IDLE,-0.0673905,9.8978
9310,IDLE,-0.0657568,9.89769
9323,IDLE,-0.0671366,9.89753
9353,IDLE,-0.0685083,9.89771
9366,IDLE,-0.0685083,9.89763
9379,IDLE,-0.0685083,9.8974
9392,IDLE,-0.0685083,9.89728
9405,IDLE,-0.0685083,9.89722
9418,IDLE,-0.0685083,9.8971
9431,IDLE,-0.0685083,9.89717
9444,IDLE,-0.0685083,9.89698
9458,IDLE,-0.0686641,9.89686
9471,IDLE,-0.0688181,9.89694
9488,IDLE,-0.0671888,9.89688
9505,IDLE,-0.0685481,9.89702
9522,IDLE,-0.0675085,9.89698
9535,IDLE,-0.0676693,9.89699
9548,IDLE,-0.0648649,9.89683
9565,IDLE,-0.0614597,9.8967
9578,IDLE,-0.059854,9.89669
9591,IDLE,-0.0600671,9.8966
9604,IDLE,-0.0590736,9.89654
9617,IDLE,-0.0586908,9.89657
9632,IDLE,-0.0583122,9.89659
9645,IDLE,-0.0579377,9.89662
9658,IDLE,-0.0569725,9.89657
9671,IDLE,-0.0577966,9.89646
9684,IDLE,-0.0592032,9.8965
9697,IDLE,-0.0576455,9.89649
9711,IDLE,-0.0596478,9.89647
9724,IDLE,-0.0580785,9.89644
9737,IDLE,-0.0589006,9.89636
9754,IDLE,-0.0579267,9.89634
9771,IDLE,-0.0587468,9.89619
9784,IDLE,-0.0571895,9.89624
9797,IDLE,-0.0550444,9.89633
9810,IDLE,-0.053501,9.89626
9823,IDLE,-0.0537522,9.89625
9836,IDLE,-0.0534079,9.89623
9849,IDLE,-0.0536573,9.89652
9862,IDLE,-0.0556709,9.89638
9875,IDLE,-0.0559056,9.89645
9888,IDLE,-0.0567303,9.89653
9901,IDLE,-0.0546129,9.89649
9914,IDLE,-0.056036,9.89627
