tick,gx,gy,gz
524150,1.14444,-0.747703,-0.946074
525158,0.335704,1.08341,0.930815
526168,1.19022,0.320444,-0.915555
527178,0.579852,0.183111,-0.305185
528182,0.244148,0.183111,-0.137333
529188,0.305185,-0.457778,0.717185
530199,0.946074,0.732444,-0.183111
531203,0.19837,0.61037,0.885037
532208,0.686666,0.0457778,-0.930815
533218,-0.335704,0.80874,0.061037
534222,-0.381481,0.457778,0.396741
535230,0.381481,0.152593,0.167852
536238,-0.564592,0.366222,0.259407
537250,-0.564592,-0.137333,-0.457778
538254,0.122074,-0.80874,-0.106815
539257,1.55644,0.21363,0.701926
540266,-0.122074,-0.427259,0.19837
541278,0.19837,0.0915555,-0.732444
542282,0.061037,0.488296,-0.0305185
543286,-0.274667,0.930815,-0.381481
544293,0.930815,0.717185,-0.19837
545296,1.46489,0.289926,0.167852
546300,0.457778,0.381481,0.152593
547302,0.503555,0.152593,1.00711
548302,-0.381481,-0.0762963,-0.320444
549307,0.747703,-0.793481,-0.366222
550316,-1.28178,0.518815,0.259407
551320,0.732444,-0.442518,-0.122074
552324,-0.503555,0.244148,-0.61037
553328,1.55644,0.274667,0.396741
554330,0.747703,0.19837,0.457778
555332,-0.122074,0.228889,-0.335704
556336,-0.0152593,-0.793481,0.228889
557351,0.366222,0.396741,0.0762963
558352,1.00711,1.54118,0.701926
559356,-0.305185,-0.427259,0.442518
560362,-0.0762963,-0.381481,0.0762963
561370,0.350963,-0.381481,0.0305185
562376,-0.0305185,-0.396741,-0.0152593
563380,-0.366222,0.0915555,0.747703
564392,-0.183111,0.152593,0.152593
565405,2.5483,0.19837,0.885037
566409,0.564592,1.06815,1.00711
567413,1.46489,-1.28178,0.595111
568423,0.793481,0.793481,0.442518
569447,0.289926,-0.244148,0.0457778
570450,0.320444,0.640889,0.183111
571458,0.396741,-0.350963,-0.0305185
572462,0.167852,-0.259407,0.778222
573468,0.793481,0.305185,0.106815
574481,-0.167852,0.793481,-0.595111
575482,-0.549333,0.137333,-0.122074
576482,0.305185,0.518815,-0.350963
577486,0.259407,-0.686666,0.534074
578487,0.61037,0.167852,-0.656148
579490,-0.061037,-0.885037,-0.671407
580493,0.717185,0.778222,-0.274667
581502,0.80874,0.137333,0.946074
582519,0.518815,-0.244148,-0.106815
583533,0.366222,0.061037,0.274667
584535,0.19837,-0.579852,0.427259
585539,0.80874,0.885037,0.396741
586550,0,-1.3123,-0.350963
587554,1.55644,1.1597,1.60222
588559,1.11393,-0.274667,1.648
589569,1.00711,0.793481,0.793481
590573,0.21363,-0.442518,0.167852
591578,1.26652,1.19022,-0.80874
592590,0.183111,-0.0457778,0.137333
593598,-0.122074,0.518815,0.564592
594602,-0.137333,0.381481,-0.320444
595607,0.686666,0.0305185,-0.061037
596614,0.503555,-0.0305185,0.717185
597618,0.320444,0.503555,-0.0305185
598622,0.457778,0.0152593,-1.03763
599626,0.595111,0.473037,-0.0305185
600643,-0.244148,-0.19837,-0.412
601654,1.05289,-0.21363,0.335704
602664,-0.183111,0.381481,0.442518
603669,0.0152593,-1.11393,0.717185
604673,0.930815,0.686666,0.518815
605679,0.656148,0.762963,0.152593
606687,0.503555,0.564592,0.412
607691,-0.274667,0.152593,0.503555
608695,-0.0305185,1.02237,-0.366222
609697,0.900296,0.671407,0.686666
610705,-0.259407,0.488296,0.183111
611715,0.518815,0.518815,0.701926
612719,-0.412,1.08341,-0.0152593
