tick,accX,accY,accZ
587554,-9.82197,1.04183,-0.201182
588559,-9.80042,1.0562,-0.237107
589569,-9.8076,1.07057,-0.172441
590573,-9.84353,1.04902,-0.244292
591578,-9.87946,1.04183,-0.251477
592590,-9.82197,1.00591,-0.193997
593598,-9.82916,0.998723,-0.265847
594602,-9.81479,1.0562,-0.215552
595607,-9.83635,1.06339,-0.215552
596614,-9.83635,1.02746,-0.193997
597618,-9.85072,1.07057,-0.251477
598622,-9.92975,1.06339,-0.193997
599626,-9.80042,1.07057,-0.222737
600643,0.229922,11.5033,-190.347
601654,-9.9082,1.02028,-0.251477
602664,-9.87227,1.04902,-0.244292
603669,-9.81479,1.0562,-0.179626
604673,-9.88664,1.08494,-0.179626
605679,-9.8579,1.04183,-0.158071
606687,-9.8579,1.04183,-0.201182
607691,-9.85072,0.969983,-0.165256
608695,-9.84353,1.09931,-0.208367
609697,-9.90101,1.00591,-0.201182
610705,-9.82916,1.06339,-0.208367
611715,-9.86509,1.00591,-0.251477
612719,-9.85072,1.06339,-0.244292
613725,-9.84353,1.08494,-0.229922
614729,-9.87946,1.0562,-0.215552
615733,-9.8579,1.04902,-0.201182
616740,-9.82916,0.998723,-0.150886
617746,-9.84353,1.07776,-0.208367
618746,-9.82197,1.07776,-0.201182
619752,-9.81479,1.01309,-0.222737
620757,-9.8579,1.00591,-0.222737
621766,-9.90101,1.00591,-0.201182
622768,-9.82916,1.0562,-0.215552
623772,-9.85072,1.08494,-0.201182
624774,-9.9082,1.02028,-0.150886
625776,-9.82197,1.07057,-0.287402
626777,-9.80042,1.02746,-0.258662
627781,-9.8579,1.07776,-0.201182
628790,-9.81479,1.0562,-0.244292
629793,-9.82197,1.04183,-0.265847
630822,-9.82197,1.02028,-0.193997
631838,-9.81479,0.998723,-0.201182
632842,-9.85072,1.04902,-0.143701
633846,-9.82197,1.09213,-0.165256
634848,-9.80042,1.0562,-0.186812
635854,-9.82916,1.02746,-0.215552
636854,-9.87227,1.02028,-0.186812
637866,-9.80042,1.12087,-0.222737
638874,-9.85072,1.0562,-0.179626
639886,-9.88664,1.04902,-0.158071
640893,-9.8076,1.09213,-0.251477
641905,-9.82916,1.00591,-0.273032
642911,-9.87946,1.02028,-0.179626
643915,-9.86509,0.998723,-0.244292
644931,-9.8076,1.04902,-0.244292
645935,-9.82916,0.991538,-0.179626
646940,-9.85072,1.1065,-0.222737
647944,-9.87946,1.04902,-0.193997
648948,-9.82916,1.09931,-0.208367
649954,-9.77886,1.04183,-0.222737
650961,-9.8579,1.09931,-0.244292
651974,-9.81479,1.06339,-0.186812
652977,-9.79323,1.07057,-0.179626
653979,-9.88664,1.04183,-0.150886
654980,-9.86509,1.02028,-0.186812
655986,-9.82916,1.09213,-0.201182
656990,-9.82916,1.04183,-0.222737
657995,-9.81479,1.02028,-0.258662
658999,-9.87227,1.0562,-0.229922
660003,-9.81479,1.07776,-0.222737
661010,-9.8076,1.03465,-0.222737
662012,-9.83635,1.02028,-0.136516
663020,-9.84353,1.02746,-0.244292
664024,-9.82916,1.02746,-0.100591
665030,-9.81479,1.0562,-0.229922
666042,-9.87227,1.04183,-0.244292
667046,-9.85072,1.04902,-0.222737
668047,-9.84353,1.03465,-0.158071
669053,-9.85072,1.02028,-0.280217
670066,-9.82197,1.04183,-0.201182
671070,-9.83635,1.04902,-0.165256
672070,-9.86509,1.04183,-0.244292
673075,-9.78605,1.0562,-0.193997
674082,-9.8579,1.06339,-0.222737
675086,-9.81479,1.00591,-0.215552
676096,-9.83635,1.04183,-0.237107
677100,-9.80042,1.02746,-0.193997
678113,-9.85072,1.04183,-0.215552
679113,-9.8076,1.0562,-0.193997
680117,-9.90101,1.04902,-0.179626
681125,-9.82916,1.02746,-0.201182
682131,-9.88664,1.04902,-0.201182
683132,-9.80042,1.04183,-0.186812
684150,-9.85072,1.1065,-0.172441
685151,-9.84353,1.01309,-0.222737
686159,-9.92975,1.06339,-0.165256
687163,-9.8579,1.09931,-0.222737
688165,-9.83635,1.04183,-0.280217
689169,-9.82197,1.04902,-0.136516
690173,-9.87946,1.07057,-0.165256
691185,-9.90101,1.01309,-0.150886
692189,-9.81479,1.0562,-0.201182
693192,-9.77886,1.07057,-0.251477
694204,-9.8579,1.04902,-0.208367
695208,-9.85072,1.04902,-0.237107
696224,-9.82916,1.04902,-0.179626
697235,-9.87946,1.11368,-0.179626
698241,-9.87946,1.00591,-0.280217
699245,-9.78605,1.07057,-0.172441
